var,name,mean,lwr,upr,string
Peak Ct,Other/None,27.3,26.3,28.3,"27.3 (26.3, 28.3)"
Peak Ct,Alpha,27.2,25,29.2,"27.2 (25, 29.2)"
Peak Ct,Delta,27.5,25.3,29.4,"27.5 (25.3, 29.4)"
Peak GEML,Other/None,6.2,5.9,6.5,"6.2 (5.9, 6.5)"
Peak GEML,Alpha,6.2,5.7,6.8,"6.2 (5.7, 6.8)"
Peak GEML,Delta,6.1,5.6,6.7,"6.1 (5.6, 6.7)"
Proliferation time,Other/None,4.4,3.7,5.3,"4.4 (3.7, 5.3)"
Proliferation time,Alpha,4.6,3.3,6.5,"4.6 (3.3, 6.5)"
Proliferation time,Delta,4.9,3.4,6.7,"4.9 (3.4, 6.7)"
Clearance time,Other/None,5,4.4,5.6,"5 (4.4, 5.6)"
Clearance time,Alpha,5.2,4.1,6.6,"5.2 (4.1, 6.6)"
Clearance time,Delta,4.9,3.7,6.2,"4.9 (3.7, 6.2)"
Proliferation rate (Ct/day),Other/None,2.9,2.3,3.5,"2.9 (2.3, 3.5)"
Proliferation rate (Ct/day),Alpha,2.9,1.9,4.1,"2.9 (1.9, 4.1)"
Proliferation rate (Ct/day),Delta,2.7,1.7,3.9,"2.7 (1.7, 3.9)"
Clearance rate (Ct/day),Other/None,2.5,2.2,2.9,"2.5 (2.2, 2.9)"
Clearance rate (Ct/day),Alpha,2.5,1.9,3.2,"2.5 (1.9, 3.2)"
Clearance rate (Ct/day),Delta,2.6,1.9,3.5,"2.6 (1.9, 3.5)"
Symmetry (proliferation/clearance),Other/None,0.9,0.7,1.1,"0.9 (0.7, 1.1)"
Symmetry (proliferation/clearance),Alpha,0.9,0.6,1.4,"0.9 (0.6, 1.4)"
Symmetry (proliferation/clearance),Delta,1,0.6,1.6,"1 (0.6, 1.6)"
